relative_path,file_name,folder,width,height,channels,has_alpha,suggested_category,suggested_object,next_step_usefulness
particles/ZombieFutureGlasses.png,ZombieFutureGlasses.png,particles,,,,False,particle_or_effect,,low_ignore_for_now
particles/ZombieHead.png,ZombieHead.png,particles,,,,False,particle_or_effect,,low_ignore_for_now
particles/ZombieImpHead.png,ZombieImpHead.png,particles,,,,False,zombie,imp,medium_for_zombie_reference
particles/ZombieJackboxArm.png,ZombieJackboxArm.png,particles,,,,False,zombie,jack_in_the_box_zombie,medium_for_zombie_reference
particles/ZombieLadderHead.png,ZombieLadderHead.png,particles,,,,False,particle_or_effect,,low_ignore_for_now
particles/ZombiePogo.png,ZombiePogo.png,particles,,,,False,zombie,pogo_zombie,medium_for_zombie_reference
particles/ZombiePogoHead.png,ZombiePogoHead.png,particles,,,,False,zombie,pogo_zombie,medium_for_zombie_reference
particles/ZombiePoleVaulterHead.png,ZombiePoleVaulterHead.png,particles,,,,False,particle_or_effect,,low_ignore_for_now
particles/ZombieYetiHead.png,ZombieYetiHead.png,particles,,,,False,zombie,yeti_zombie,medium_for_zombie_reference
particles/Zombie_boss_fireball_additiveparticle.png,Zombie_boss_fireball_additiveparticle.png,particles,,,,False,zombie,zomboss,medium_for_zombie_reference
particles/Zombie_boss_fireball_groundparticles.png,Zombie_boss_fireball_groundparticles.png,particles,,,,False,zombie,zomboss,medium_for_zombie_reference
particles/Zombie_boss_fireball_particles.png,Zombie_boss_fireball_particles.png,particles,,,,False,zombie,zomboss,medium_for_zombie_reference
particles/Zombie_boss_iceball_groundparticles.png,Zombie_boss_iceball_groundparticles.png,particles,,,,False,zombie,zomboss,medium_for_zombie_reference
particles/Zombie_boss_iceball_particles.png,Zombie_boss_iceball_particles.png,particles,,,,False,zombie,zomboss,medium_for_zombie_reference
particles/Zombie_seaweed.png,Zombie_seaweed.png,particles,,,,False,particle_or_effect,,low_ignore_for_now
particles/Zomboss_particles.png,Zomboss_particles.png,particles,,,,False,zombie,zomboss,medium_for_zombie_reference
particles/glow_particle1.png,glow_particle1.png,particles,,,,False,particle_or_effect,,low_ignore_for_now
particles/pea_splats.png,pea_splats.png,particles,,,,False,particle_or_effect,,low_ignore_for_now
particles/vase_chunks.png,vase_chunks.png,particles,,,,False,particle_or_effect,,low_ignore_for_now
reanim/Blover_blink.png,Blover_blink.png,reanim,,,,False,plant,blover,medium_for_plant_reference
reanim/Blover_dirt_back.png,Blover_dirt_back.png,reanim,,,,False,plant,blover,medium_for_plant_reference
reanim/Blover_dirt_front.png,Blover_dirt_front.png,reanim,,,,False,plant,blover,medium_for_plant_reference
reanim/Blover_head.png,Blover_head.png,reanim,,,,False,plant,blover,high_for_plant_reference
reanim/Blover_head2.png,Blover_head2.png,reanim,,,,False,plant,blover,high_for_plant_reference
reanim/Blover_petal.png,Blover_petal.png,reanim,,,,False,plant,blover,medium_for_plant_reference
